,id,name,genre,start_date,rating,votes,n_episodes,runtime1,runtime2,user_reviews,critic_reviews,cast
39,tt0303461,Firefly,Adventure,2002,9.1,"204,175",14,44min,44,692,66,"Joss Whedon, Vern Gillum, Tim Minear, James A. Contner, Vondie Curtis-Hall, Marita Grabiak, Michael Grossman, Allan Kroeker, David Solomon, Thomas J. Wright"
40,tt1124373,Sons of Anarchy,Crime,2008,8.6,"202,737",92,45min,45,271,107,"Paris Barclay, Guy Ferland, Gwyneth Horder-Payton, Peter Weller, Billy Gierhart, Kurt Sutter, Stephen Kay, Adam Arkin, Terrence O'Hara, Paul Maibaum"
41,tt2707408,Narcos,Biography,2015,8.9,"199,770",40,49min,49,163,39,"Andres Baiz, Gerardo Naranjo, Josef Kubota Wladyka, Fernando Coimbra, Guillermo Navarro, Jose Padilha, Carlo Bernard, Chris Brancato, Doug Miro, Andrew Black"
42,tt3032476,Better Call Saul,Crime,2015,8.7,"194,834",40,46min,46,243,61,"Vince Gilligan, Thomas Schnauz, Adam Bernstein, Peter Gould, Colin Bucksey, Larysa Kondracki, Terry McDonough, John Shiban, Nicole Kassell, Michelle MacLaren"
43,tt0098904,Seinfeld,Comedy,1989,8.9,"192,255",173,22min,22,374,52,"Andy Ackerman, Tom Cherones, David Steinberg, D. Owen Trainor, Joshua White, Jason Alexander, Art Wolff, Larry David, Jerry Seinfeld, Peter Mehlman"
44,tt1119644,Fringe,Drama,2008,8.4,"190,630",100,46min,46,394,91,"Joe Chappelle, Brad Anderson, Fred Toye, Jeannot Szwarc, Charles Beeson, Dennis Smith, Akiva Goldsman, Jeffrey G. Hunt, David Straiton, Paul A. Edwards"
45,tt1442449,Spartacus: War of the Damned,Action,2010,8.6,"186,779",34,55min,55,312,62,"Jesse Warn, Michael Hurst, Rick Jacobson, Mark Beesley, T.J. Scott, Chris Martin-Jones, Grady Hall, Glenn Standring, Rowan Woods, Brendan Maher"
46,tt1843230,Once Upon a Time,Adventure,2011,7.9,"183,336",156,44min,44,326,63,"Ralph Hemecker, Ron Underwood, Dean White, Romeo Tirone, Gwyneth Horder-Payton, Billy Gierhart, David Solomon, Milan Cheylov, Alrick Riley, Eagle Egilsson"
47,tt0413573,Grey's Anatomy,Drama,2005,7.7,"179,274",316,41min,41,304,56,"Rob Corn, Chandra Wilson, Kevin McKidd, Debbie Allen, Jeannot Szwarc, Tony Phelan, Tom Verica, Mark Jackson, Peter Horton, Nicole Rubio"
48,tt2243973,Hannibal,Crime,2013,8.6,"178,600",39,44min,44,294,102,"Michael Rymer, Guillermo Navarro, Vincenzo Natali, David Slade, Tim Hunter, John Dahl, Peter Medak, James Foley, David Semel, Marc Jobst"
49,tt0149460,Futurama,Animation,1999,8.5,"171,008",124,22min,22,296,66,"Peter Avanzino, Bret Haaland, Gregg Vanzo, Ron Hughart, Brian Sheesley, Crystal Chesney, Frank Marino, Raymie Muzquiz, Stephen Sandoval, Susie Dietter"
50,tt0436992,Doctor Who,Adventure,2005,8.7,"163,440",167,45min,45,365,175,"Graeme Harper, Euros Lyn, Douglas Mackinnon, James Strong, Rachel Talalay, Charlie Palmer, James Hawes, Joe Ahearne, Toby Haynes, Nick Hurran"
51,tt0106179,The X-Files,Drama,1993,8.7,"163,115",217,45min,45,349,120,"Kim Manners, Rob Bowman, David Nutter, Chris Carter, R.W. Goodwin, Tony Wharmby, Michael W. Watkins, Daniel Sackheim, Michael Lange, Jim Charleston"
52,tt3749900,Gotham,Action,2014,7.9,"160,172",73,42min,42,267,60,"Danny Cannon, Rob Bailey, T.J. Scott, Eagle Egilsson, John Behring, Paul A. Edwards, Nathan Hope, Louis Shaw Milito, Nick Copus, Jeffrey G. Hunt"
53,tt2364582,Agents of S.H.I.E.L.D.,Action,2013,7.5,"158,869",110,45min,45,317,68,"Billy Gierhart, Vincent Misiano, Kevin Tancharoen, Jesse Bochco, Garry A. Brown, Bobby Roth, Roxann Dawson, Milan Cheylov, Ron Underwood, Wendey Stanzler"
54,tt1439629,Community,Comedy,2009,8.5,"157,315",110,22min,22,144,58,"Tristram Shapeero, Joe Russo, Anthony Russo, Rob Schrab, Jay Chandrasekhar, Adam Davidson, Justin Lin, Duke Johnson, Steven K. Tsuchida, Kyle Newacheck"
55,tt0804503,Mad Men,Drama,2007,8.6,"157,170",92,47min,47,233,175,"Phil Abraham, Michael Uppendahl, Jennifer Getzinger, Matthew Weiner, Scott Hornbacher, Lesli Linka Glatter, Tim Hunter, John Slattery, Andrew Bernstein, Alan Taylor"
56,tt0285331,24,Action,2001,8.4,"155,375",195,44min,44,573,112,"Jon Cassar, Brad Turner, Milan Cheylov, Bryan Spicer, Stephen Hopkins, Ian Toynton, Frederick King Keller, James Whitmore Jr., Tim Iacofano, Kevin Hooks"
57,tt0904208,Californication,Comedy,2007,8.3,"153,458",84,28min,28,179,68,"David Von Ancken, Adam Bernstein, John Dahl, Bart Freundlich, Michael Lehmann, David Duchovny, Seith Mann, Scott Winant, Michael Weaver, Stephen Hopkins"
58,tt0417299,Avatar: The Last Airbender,Animation,2005,9.2,"153,109",66,23min,23,277,38,"Giancarlo Volpe, Ethan Spaulding, Lauren MacMullan, Dave Filoni, Joaquim Dos Santos, Michael Dante DiMartino, Anthony Lioi, Bryan Konietzko, Michael Dante DiMartino, Bryan Konietzko"
59,tt1826940,New Girl,Comedy,2011,7.7,"152,317",146,22min,22,150,22,"Trent O'Donnell, Erin O'Malley, Jake Kasdan, Fred Goss, Max Winkler, Jay Chandrasekhar, Jesse Peretz, Lynn Shelton, Steve Welch, Russ T. Alsobrook"
60,tt0472954,It's Always Sunny in Philadelphia,Comedy,2005,8.8,"148,814",153,22min,22,169,75,"Matt Shakman, Fred Savage, Daniel Attias, Randall Einhorn, Richie Keen, Todd Biermann, Heath Cullens, Jerry Levine, John Fortenberry, Jamie Babbit"
61,tt0979432,Boardwalk Empire,Crime,2010,8.6,"146,190",57,55min,55,148,127,"Timothy Van Patten, Allen Coulter, Jeremy Podeswa, Ed Bianchi, Brad Anderson, Alik Sakharov, Jake Paltrow, Simon Cellan Jones, Brian Kirk, Martin Scorsese"
62,tt2085059,Black Mirror,Drama,2011,8.9,"145,399",19,1h,1,152,43,"Owen Harris, Carl Tibbetts, Otto Bathurst, Euros Lyn, Brian Welsh, Bryn Higgins, James Hawes, Dan Trachtenberg, Jakob Verbruggen, James Watkins"
63,tt2861424,Rick and Morty,Animation,2013,9.3,"144,085",31,22min,22,144,19,"Pete Michels, Wesley Archer, Bryan Newton, Juan Jose Meza-Leon, Dominic Polcino, John Rice, Stephen Sandoval, Jeff Myers, Justin Roiland, Anthony Chun"
64,tt0387199,Entourage,Comedy,2004,8.5,"143,028",96,28min,28,147,43,"Julian Farino, Mark Mylod, Daniel Attias, David Nutter, Ken Whittingham, Doug Ellin, Seith Mann, David Frankel, Patty Jenkins, Kevin Connolly"
65,tt1266020,Parks and Recreation,Comedy,2009,8.6,"142,724",125,22min,22,130,41,"Dean Holland, Michael Schur, Ken Whittingham, Troy Miller, Randall Einhorn, Morgan Sackett, Craig Zisk, Tristram Shapeero, Michael Trim, Nicole Holofcener"
66,tt1196946,The Mentalist,Crime,2008,8.1,"140,015",151,43min,43,154,47,"Chris Long, Eric Laneuville, John F. Showalter, Charles Beeson, Randy Zisk, David Barrett, John Polson, Simon Baker, Guy Ferland, Geary McLeod"
67,tt1839578,Person of Interest,Action,2011,8.5,"138,707",103,43min,43,241,56,"Chris Fisher, Richard J. Lewis, Fred Toye, Jeffrey G. Hunt, Stephen Surjik, Stephen Williams, Kenneth Fink, Helen Shaver, Charles Beeson, Kevin Bray"
68,tt0877057,Death Note: Desu nato,Animation,2006,9,"137,647",37,24min,24,167,25,"Tetsura Araki, Tomohiko Ita, Hiroyuki Tsuchiya, Mitsuhiro Yoneda, Eiko Nishi, Makoto Bessho, Shinji Nagamura, Oyunamu, Naoyasu Hanyu, Hisato Shimoda"
69,tt2661044,The 100,Drama,2014,7.8,"133,826",71,43min,43,548,39,"Dean White, P.J. Pesce, Ed Fraiman, John F. Showalter, Mairzee Almas, Omar Madha, Matt Barber, Antonio Negret, Uta Briesewitz, Tim Scanlan"
70,tt2357547,Jessica Jones,Action,2015,8.2,"130,900",26,56min,56,297,59,"Simon Cellan Jones, S.J. Clarkson, David Petrarca, Stephen Surjik, Uta Briesewitz, John Dahl, Billy Gierhart, Rosemary Rodriguez, Michael Rymer, Neasa Hardiman"
71,tt1586680,Shameless,Comedy,2011,8.7,"130,659",96,46min,46,181,40,"Mark Mylod, Christopher Chulack, Anthony Hemingway, John Wells, Mimi Leder, David Nutter, Sanaa Hamri, Peter Segal, Iain B. MacDonald, John Dahl"
72,tt0098936,Twin Peaks,Crime,1990,8.9,"130,253",30,47min,47,187,107,"David Lynch, Lesli Linka Glatter, Caleb Deschanel, Duwayne Dunham, Tim Hunter, Todd Holland, Tina Rathborne, Graeme Clifford, Mark Frost, Uli Edel"
73,tt1578873,Pretty Little Liars,Drama,2010,7.6,"129,273",160,44min,44,184,40,"Norman Buckley, Ron Lagomarsino, Chad Lowe, Arlene Sanford, Michael Grossman, Melanie Mayron, I. Marlene King, Wendey Stanzler, Chris Grismer, Roger Kumble"
74,tt0407362,Battlestar Galactica,Action,2004,8.7,"129,057",73,44min,44,650,100,"Michael Rymer, Michael Nankin, Rod Hardy, Sergio Mimica-Gezzan, Robert M. Young, Edward James Olmos, Jeff Woolnough, Wayne Rose, Allan Kroeker, Felix Enriquez Alcala"
75,tt2741602,The Blacklist,Crime,2013,8.1,"128,052",94,43min,43,293,30,"Michael W. Watkins, Andrew McCarthy, Donald E. Thorin Jr., Steven A. Adelson, Bill Roe, Karen Gaviola, Joe Carnahan, Terrence O'Hara, John Terlesky, Vincent Misiano"
76,tt0397442,Gossip Girl,Drama,2007,7.4,"125,362",121,42min,42,216,41,"Mark Piznarski, Norman Buckley, Patrick R. Norris, J. Miller Tobin, Joe Lazarov, Tony Wharmby, Andrew McCarthy, Janice Cooke, Michael Fields, Jean de Segonzac"
77,tt0165598,That '70s Show,Comedy,1998,8.1,"125,073",200,22min,22,245,39,"David Trainer, Terry Hughes, Mark Brazill, Bonnie Turner, Terry Turner, Kristin Newman, Chris Peterson, Bryan Moore, Mark Hudis, Philip Stark"
78,tt1606375,Downton Abbey,Drama,2010,8.7,"124,797",52,58min,58,149,77,"Brian Percival, David Evans, Philip John, Andy Goddard, Catherine Morshead, Minkie Spiro, Brian Kelly, Michael Engler, Ben Bolt, Ashley Pearce"
79,tt0384766,Rome,Action,2005,8.8,"124,795",22,1h,1,204,28,"Michael Apted, Mikael Salomon, Allen Coulter, Alan Poul, Steve Shill, Timothy Van Patten, Alan Taylor, John Maybury, Julian Farino, Jeremy Podeswa"
80,tt1219024,Castle,Comedy,2009,8.2,"124,738",173,43min,43,141,59,"Rob Bowman, John Terlesky, Bill Roe, Bryan Spicer, Paul Holahan, Thomas J. Wright, Jeff Bleckner, David Barrett, Kate Woods, Larry Shaw"
81,tt1837492,13 Reasons Why,Drama,2017,8.5,"122,182",19,1h,1,571,46,"Gregg Araki, Kyle Patrick Alvarez, Carl Franklin, Tom McCarthy, Helen Shaver, Jessica Yu, Jay Asher, Brian Yorkey, Nic Sheff, Thomas Higgins"
82,tt0460627,Bones,Comedy,2005,7.9,"120,697",245,40min,40,179,62,"Ian Toynton, Dwight H. Little, Jeannot Szwarc, Chad Lowe, David Boreanaz, Milan Cheylov, Allan Kroeker, Tim Southam, Kate Woods, Steven DePaul"
83,tt1327801,Glee,Comedy,2009,6.7,"120,237",121,44min,44,181,82,"Bradley Buecker, Brad Falchuk, Eric Stoltz, Paris Barclay, Ian Brennan, Ryan Murphy, Alfonso Gomez-Rejon, Elodie Keene, Adam Shankman, Paul McCrane"
84,tt0452046,Criminal Minds,Crime,2005,8.1,"120,125",281,42min,42,198,45,"Glenn Kershaw, Felix Enriquez Alcala, Edward Allen Bernero, John Gallagher, Guy Norman Bee, Matthew Gray Gubler, Larry Teng, Rob Bailey, Rob Spera, Charles S. Carroll"
85,tt0934814,Chuck,Action,2007,8.2,"113,423",91,43min,43,322,46,"Robert Duncan McNeill, Allan Kroeker, Patrick R. Norris, Peter Lauer, Jay Chandrasekhar, Fred Toye, Jeremiah S. Chechik, Jason Ensler, Norman Buckley, Zachary Levi"
86,tt0118276,Buffy the Vampire Slayer,Action,1997,8.2,"108,721",145,44min,44,679,91,"Joss Whedon, James A. Contner, David Solomon, David Grossman, Michael Gershman, Bruce Seth Green, Nick Marck, James Whitmore Jr., David Greenwalt, David Semel"
87,tt1486217,Archer,Animation,2009,8.7,"105,375",98,22min,22,95,50,"Bryan Fordney, Adam Reed, Adam Reed, Mike Arnold, Boswell Cocker, Matt Thompson, Tesha Kondrat, Chris Provenzano, Casey Willis, Tony Carbone"
88,tt0193676,Freaks and Geeks,Comedy,1999,8.9,"104,165",18,44min,44,181,33,"Jake Kasdan, Judd Apatow, Bryan Gordon, Ken Kwapis, Lesli Linka Glatter, Miguel Arteta, Paul Feig, Danny Leiner, Ken Olin, Paul Feig"
89,tt0212671,Malcolm in the Middle,Comedy,2000,8,"102,607",151,22min,22,180,18,"Todd Holland, Jeff Melman, Ken Kwapis, David D'Ovidio, Peter Lauer, Levie Isaacks, Steve Welch, Steve Love, Bryan Cranston, James Simons"
90,tt1837642,Revenge,Drama,2011,7.9,"102,379",89,44min,44,139,24,"Kenneth Fink, J. Miller Tobin, Bobby Roth, Matt Earl Beesley, John Terlesky, Sanford Bookstaver, Colin Bucksey, Matt Shakman, John Scott, Randy Zisk"
91,tt0279600,Smallville,Adventure,2001,7.5,"101,848",217,1h,1,380,98,"James Marshall, Greg Beeman, Mike Rohl, Jeannot Szwarc, Terrence O'Hara, Glen Winter, Kevin Fair, Whitney Ransick, Mairzee Almas, Rick Rosenthal"
92,tt1567432,Teen Wolf,Action,2011,7.7,"101,388",100,41min,41,171,34,"Russell Mulcahy, Tim Andrew, Jennifer Lynch, Toby Wilkins, Christian Taylor, Robert Hall, James J.D. Taylor, David Daniel, Katie Eastridge, Jann Turner"
93,tt0487831,The IT Crowd,Comedy,2006,8.6,"101,347",25,25min,25,86,20,"Graham Linehan, Derek Hallworth, Graham Linehan, Ash Atalla, Derrin Schlesinger, Richard Boden, Caroline Wyard, Jo Hunter, Jamie Glazebrook, Isibeal Ballance"
94,tt1358522,White Collar,Comedy,2009,8.3,"101,263",81,40min,40,83,29,"John T. Kretchmer, Russell Lee Fine, Paul Holahan, Michael Smith, Sanford Bookstaver, Kevin Bray, Dennie Gordon, David Straiton, Jeff King, Tim DeKay"
95,tt0248654,Six Feet Under,Comedy,2001,8.7,"99,126",63,55min,55,256,56,"Alan Ball, Daniel Attias, Rodrigo Garcia, Jeremy Podeswa, Kathy Bates, Michael Cuesta, Michael Engler, Alan Poul, Daniel Minahan, Miguel Arteta"
96,tt0410975,Desperate Housewives,Comedy,2004,7.5,"98,923",180,45min,45,166,75,"David Grossman, Larry Shaw, David Warren, Arlene Sanford, Bethany Rooney, Wendey Stanzler, Lonny Price, Jeff Melman, Fred Gerber, Randy Zisk"
97,tt0098800,The Fresh Prince of Bel-Air,Comedy,1990,7.9,"97,352",148,22min,22,101,9,"Shelley Jensen, Jeff Melman, Ellen Gittelsohn, Madeline Cripe, Chuck Vinson, Rita Rogers Blye, Maynard C. Virgil I, Debbie Allen, Rae Kraus, Werner Walian"
98,tt0496424,30 Rock,Comedy,2006,8.2,"96,942",138,22min,22,89,45,"Don Scardino, Beth McCarthy-Miller, John Riggi, Michael Engler, Gail Mancuso, Adam Bernstein, Ken Whittingham, Jeff Richmond, Stephen Lee Davis, Scott Ellis"
99,tt2431438,Sense8,Drama,2015,8.4,"96,647",24,1h,1,534,65,"Lana Wachowski, Lilly Wachowski, James McTeigue, Tom Tykwer, Dan Glass, J. Michael Straczynski, Lana Wachowski, Lilly Wachowski, J. Michael Straczynski, Lana Wachowski"
100,tt1235099,Lie to Me,Crime,2009,8,"95,189",48,43min,43,128,28,"Daniel Sackheim, Michael Zinberg, Vahan Moosekian, Michael Offer, Adam Davidson, Lesli Linka Glatter, James Hayman, Seith Mann, Terrence O'Hara, Eric Laneuville"
